Industry_of_Project,Employee_Count,team_size_grown,Number_of_Co_founders,customer_satisfaction_score,churn_rate,scalability_score,monthly_recurring_revenue,burn_rate,business_sustainability_score,User_Adoption_Rate,Revenue_Growth,Market_Competition,customer_acquisition_cost,Dependent_Project_Status,revenue_to_burn_ratio,revenue_per_employee,satisfaction_adoption_product,churn_competition_risk,growth_sustainability_score,team_growth_efficiency
Hospitality,52,3,3,8.84,0.022,82,90260,34155,93,0.934,21.58,1,130,1,2.6425810984892846,1703.0188679245282,8.25656,0.022,29.3694,5.109056603773585
Email,62,2,2,8.04,0.019,87,75448,13710,86,0.849,7.62,2,56,1,5.502735030267668,1197.5873015873017,6.825959999999999,0.038,15.153200000000002,2.3951746031746035
Software Development,78,1,3,6.68,0.233,53,25448,33929,62,0.635,3.71,2,109,0,0.7500147362216327,322.126582278481,4.2418,0.466,8.500200000000001,0.322126582278481
Education,11,0,1,3.42,0.196,43,10297,14482,23,0.177,-10.94,5,120,0,0.7109714838086032,858.0833333333334,0.60534,0.98,-0.2161999999999999,0.0
Security,54,1,3,8.95,0.044,93,110913,34555,70,0.863,10.74,1,96,1,3.2096596828336614,2016.6,7.72385,0.044,14.518000000000002,2.0166
Finance,95,4,3,9.21,0.023,71,89171,30566,81,0.883,21.79,3,74,1,2.9172310007524453,928.8645833333334,8.132430000000001,0.069,25.749899999999997,3.7154583333333333
Manufacturing,38,2,2,9.56,0.074,69,73568,30243,64,0.912,13.21,3,61,1,2.4324824758629813,1886.3589743589744,8.718720000000001,0.22199999999999998,14.8544,3.7727179487179487
Advertising,6,1,1,4.42,0.242,42,10918,14826,49,0.282,-6.93,4,151,0,0.7363593444391987,1559.7142857142858,1.2464399999999998,0.968,1.5043,1.5597142857142858
Enterprise Software,109,3,3,8.78,0.028,77,88380,11351,100,0.84,11.92,1,65,1,7.7854122621564485,803.4545454545455,7.3751999999999995,0.028,21.92,2.4103636363636367
Advertising,16,0,1,6.56,0.358,43,18824,27652,32,0.376,-12.95,5,113,0,0.6807218023360937,1107.2941176470588,2.46656,1.79,-0.9439999999999997,0.0
Transportation,14,0,1,3.75,0.235,53,16058,19394,35,0.162,-2.52,4,343,0,0.8279453467388502,1070.5333333333333,0.6075,0.94,2.6180000000000003,0.0
E-Commerce,15,0,2,6.91,0.269,52,7413,9051,45,0.244,1.81,5,251,0,0.818935041979673,463.3125,1.68604,1.3450000000000002,5.314500000000001,0.0
Manufacturing,45,1,2,3.52,0.321,36,19010,20876,43,0.206,-16.24,3,153,0,0.9105714422570292,413.2608695652174,0.72512,0.9630000000000001,-2.6831999999999994,0.4132608695652174
Email,118,4,2,6.79,0.029,94,92520,39175,82,0.85,19.8,2,68,1,2.361649989789667,777.4789915966387,5.7715,0.058,24.436,3.1099159663865548
Finance,46,3,2,7.18,0.027,70,111488,48826,73,0.862,21.57,2,60,1,2.2833268478505744,2372.0851063829787,6.189159999999999,0.054,23.046100000000003,7.116255319148936
Pharmaceuticals,6,0,1,3.41,0.214,24,22854,33997,56,0.243,-3.97,4,129,0,0.6722160127066298,3264.8571428571427,0.82863,0.856,3.3767999999999994,0.0
Publishing,16,0,1,4.82,0.252,48,6405,7266,41,0.243,2.11,3,245,0,0.8813815880005504,376.7647058823529,1.17126,0.756,4.9651,0.0
Enterprise Software,64,3,2,8.2,0.025,64,167377,39978,85,0.821,21.99,2,55,1,4.186622977062958,2575.0307692307692,6.732199999999999,0.05,27.1915,7.725092307692308
Analytics,12,0,1,3.75,0.301,24,8798,7637,9,0.274,4.69,5,227,0,1.151872217858078,676.7692307692307,1.0275,1.505,1.3221,0.0
Network Infrastructure,129,3,3,8.81,0.041,94,50288,20716,87,0.899,11.26,1,72,1,2.427378481440363,386.83076923076925,7.920190000000001,0.041,18.496199999999998,1.1604923076923077
Email,101,3,2,7.63,0.01,62,81925,26093,75,0.891,14.18,1,92,1,3.139610638460949,803.1862745098039,6.79833,0.01,18.135,2.409558823529412
Pharmaceuticals,63,3,2,7.11,0.017,80,96857,30021,84,0.938,7.57,3,68,1,3.2262007860902004,1513.390625,6.66918,0.051000000000000004,14.7588,4.540171875
Career Services,12,0,2,5.41,0.352,24,15590,16395,41,0.335,6.86,4,310,0,0.9508416686996829,1199.2307692307693,1.8123500000000001,1.408,6.9126,0.0
Retail,146,3,3,7.41,0.043,100,71983,23678,75,0.802,9.37,1,80,1,3.03995101144474,489.68027210884355,5.94282,0.043,14.527499999999998,1.4690408163265305
Hospitality,96,1,3,8.77,0.025,72,73140,30456,70,0.892,38.73,3,51,1,2.401418393144433,754.020618556701,7.822839999999999,0.07500000000000001,34.111,0.754020618556701
Finance,53,3,3,8.9,0.04,86,156021,35989,84,0.977,26.25,2,51,1,4.335120866907475,2889.277777777778,8.6953,0.08,30.45,8.667833333333334
Analytics,50,4,2,8.12,0.023,83,42969,6204,97,0.813,51.64,3,67,1,6.924899274778404,842.5294117647059,6.601559999999999,0.069,59.7908,3.3701176470588234
Finance,23,0,2,3.42,0.37,52,9445,15016,17,0.128,-3.04,5,241,0,0.6289538523007259,393.5416666666667,0.43776,1.85,1.1832,0.0
Media,18,1,1,6.18,0.255,26,7491,9164,37,0.159,-7.41,5,110,0,0.8173486088379706,394.2631578947368,0.9826199999999999,1.275,0.9582999999999999,0.3942631578947368
Pharmaceuticals,102,2,3,8.7,0.051,95,118039,60251,80,0.931,42.31,2,63,1,1.9590884949877183,1146.009708737864,8.0997,0.102,41.848,2.292019417475728
Pharmaceuticals,145,2,2,6.96,0.034,78,83925,17208,85,0.923,21.53,3,74,1,4.876808646638387,574.8287671232877,6.42408,0.10200000000000001,26.800500000000003,1.1496575342465754
Pharmaceuticals,20,0,1,5.65,0.378,24,17403,17656,40,0.184,-14.47,5,198,0,0.9856147703460384,828.7142857142857,1.0396,1.8900000000000001,-1.788,0.0
Marketing,47,0,1,4.8,0.196,45,12063,12077,45,0.186,-2.84,4,179,0,0.9987580725285643,251.3125,0.8927999999999999,0.784,3.222,0.0
Career Services,38,2,1,5.85,0.122,61,30930,16838,50,0.554,3.28,3,79,1,1.8368074113664707,793.0769230769231,3.2409,0.366,6.64,1.5861538461538462
Retail,7,0,1,4.37,0.32,9,13752,16197,44,0.163,-8.42,5,100,0,0.8489937029262872,1719.0,0.71231,1.6,0.6952000000000002,0.0
Gaming,38,0,2,5.12,0.348,42,16530,21029,59,0.262,-11.79,5,137,0,0.7860199714693296,423.84615384615387,1.3414400000000002,1.7399999999999998,-1.0560999999999996,0.0
Advertising,91,3,1,9.16,0.04,59,146777,39740,82,0.913,26.25,1,67,1,3.6933393724365264,1595.4021739130435,8.36308,0.04,29.725,4.78620652173913
Publishing,75,4,2,7.97,0.026,70,52088,3268,87,0.87,7.77,2,89,1,15.933924747629245,685.3684210526316,6.9338999999999995,0.052,15.4599,2.741473684210526
Gaming,5,1,1,5.19,0.395,39,23360,25100,29,0.138,-6.77,3,117,0,0.9306402135373093,3893.3333333333335,0.7162200000000001,1.185,0.9367000000000002,3.8933333333333335
Network Infrastructure,45,2,3,6.12,0.183,59,28664,23609,68,0.635,11.26,4,99,1,1.2140618382041508,623.1304347826087,3.8862,0.732,14.456799999999998,1.2462608695652175
Cloud Computing,59,2,2,7.02,0.204,61,18919,19793,70,0.588,7.3,2,113,0,0.955794685258159,315.31666666666666,4.127759999999999,0.408,12.11,0.6306333333333334
E-Commerce,18,0,2,4.0,0.361,30,15009,18233,9,0.213,-2.52,5,161,0,0.8231326094109904,789.9473684210526,0.852,1.805,0.6732,0.0
Transportation,6,0,1,5.42,0.458,30,8477,14032,34,0.388,5.59,3,223,0,0.6040761063208152,1211.0,2.10296,1.374,5.300599999999999,0.0
Music,9,0,1,3.42,0.329,24,12222,21667,22,0.363,3.03,3,234,0,0.5640575964556027,1222.2,1.24146,0.9870000000000001,2.8665999999999996,0.0
Real Estate,46,2,2,6.57,0.125,52,20833,21513,64,0.492,6.18,2,110,0,0.9683461931765363,443.25531914893617,3.23244,0.25,10.3552,0.8865106382978724
Email,21,1,1,5.32,0.178,36,11126,14823,19,0.141,-10.0,4,157,0,0.7505396654074474,505.72727272727275,0.75012,0.712,0.0,0.5057272727272728
Security,17,1,2,5.52,0.427,30,36634,60661,18,0.2,-6.12,5,126,0,0.6039035969799875,2035.2222222222222,1.1039999999999999,2.135,0.6984,2.035222222222222
Transportation,40,2,3,6.07,0.175,68,37155,32970,50,0.439,3.14,4,95,0,1.126899396439295,906.219512195122,2.66473,0.7,6.57,1.812439024390244
Media,58,3,3,8.55,0.015,78,82990,46373,73,0.813,10.0,1,50,1,1.7895803683098288,1406.6101694915253,6.95115,0.015,14.6,4.219830508474576
Publishing,127,2,1,8.96,0.046,65,115588,6030,92,0.801,9.13,2,96,1,19.165644171779142,903.03125,7.176960000000001,0.092,17.599600000000002,1.8060625
Cloud Computing,99,3,2,7.63,0.01,74,97253,50203,91,0.954,10.23,2,93,1,1.9371564018803282,972.53,7.279019999999999,0.02,18.4093,2.91759
Security,59,3,2,6.97,0.038,82,123932,33049,69,0.855,15.7,1,97,1,3.7498335854765505,2065.5333333333333,5.95935,0.038,17.733,6.1966
E-Commerce,10,0,1,5.3,0.453,51,20680,33424,59,0.181,-6.46,4,372,0,0.618698578908003,1880.0,0.9592999999999999,1.812,2.0886,0.0
Pharmaceuticals,47,3,1,8.84,0.019,85,62339,31737,97,0.951,25.75,2,58,1,1.9641754363854056,1298.7291666666667,8.406839999999999,0.038,34.6775,3.8961875
Media,15,0,1,4.76,0.27,56,6672,9044,20,0.195,-10.04,4,439,0,0.7376451077943615,417.0,0.9282,1.08,-0.00799999999999983,0.0
Music,50,3,2,8.24,0.03,73,151120,54732,90,0.865,20.16,3,50,1,2.761039957612409,2963.1372549019607,7.1276,0.09,27.144000000000002,8.889411764705882
Gaming,18,0,2,4.23,0.244,12,21713,29534,27,0.134,-21.03,5,185,0,0.7351616725918402,1142.7894736842106,0.5668200000000001,1.22,-2.9781000000000004,0.0
Mobile,13,1,1,4.35,0.196,30,19111,27039,25,0.337,-5.93,5,288,0,0.7067677514792899,1365.0714285714287,1.4659499999999999,0.98,1.0175,1.3650714285714287
Cloud Computing,6,0,2,4.97,0.369,39,10235,14428,31,0.244,1.71,5,127,0,0.7093353662762493,1462.142857142857,1.21268,1.845,3.6301000000000005,0.0
Pharmaceuticals,54,3,1,8.25,0.033,81,151110,13244,97,0.95,22.21,2,58,1,11.408833522083805,2747.4545454545455,7.8374999999999995,0.066,31.2437,8.242363636363637
Marketing,14,1,1,3.42,0.472,28,12401,17671,34,0.197,-12.33,3,120,0,0.7017315527387958,826.7333333333333,0.67374,1.416,-0.7922,0.8267333333333333
Gaming,14,1,2,4.58,0.286,31,10071,17114,21,0.272,-0.87,4,339,0,0.5884312007011393,671.4,1.2457600000000002,1.144,1.9173000000000002,0.6714
Analytics,12,0,1,6.27,0.275,34,30616,34547,32,0.205,-5.24,3,155,0,0.8861873335648952,2355.076923076923,1.2853499999999998,0.8250000000000001,1.5231999999999999,0.0
Gaming,30,2,2,8.22,0.039,72,132830,73854,95,0.91,23.89,1,56,1,1.798524135129646,4284.8387096774195,7.480200000000001,0.039,32.1955,8.56967741935484
Retail,45,3,3,9.19,0.011,73,75235,30840,96,0.904,14.27,2,110,1,2.4394474887325313,1635.5434782608695,8.30776,0.022,23.2992,4.906630434782608
Healthcare,51,1,2,7.05,0.131,67,34448,21113,72,0.633,-1.94,4,81,1,1.631524107227432,662.4615384615385,4.46265,0.524,5.8032,0.6624615384615384
Mobile,7,0,1,4.9,0.297,39,22784,21564,36,0.233,-8.73,3,120,0,1.0565267795038256,2848.0,1.1417000000000002,0.891,0.45719999999999983,0.0
Mobile,47,3,1,8.07,0.028,79,65673,29540,93,0.79,31.05,2,85,1,2.2231136386716766,1368.1875,6.3753,0.056,38.1765,4.1045625
Advertising,8,1,1,5.96,0.466,16,10239,17576,32,0.314,4.95,5,393,0,0.5825226147806793,1137.6666666666667,1.87144,2.33,4.784,1.1376666666666668
Real Estate,16,1,1,5.98,0.212,40,15482,16380,30,0.157,-9.33,3,143,0,0.9451193455832977,910.7058823529412,0.93886,0.636,0.20099999999999998,0.9107058823529413
Human Resources,49,2,1,8.39,0.05,80,78960,28439,83,0.802,29.0,1,51,1,2.7763713080168775,1579.2,6.72878,0.05,32.37,3.1584
Analytics,58,2,2,8.65,0.03,80,66244,28856,65,0.957,22.31,2,92,1,2.2955955227501126,1122.7796610169491,8.27805,0.06,21.0015,2.2455593220338983
Software Development,53,4,3,8.0,0.01,89,85718,15448,74,0.881,11.26,1,79,1,5.54844973784711,1587.3703703703704,7.048,0.01,15.732399999999998,6.349481481481482
Finance,57,3,2,8.1,0.012,79,99264,43837,78,0.909,26.66,1,155,1,2.2643368766823304,1711.448275862069,7.3629,0.012,28.594799999999996,5.134344827586207
Education,55,4,2,8.27,0.028,100,161699,50309,82,0.866,13.95,1,87,1,3.214052872192407,2887.4821428571427,7.16182,0.028,19.639,11.54992857142857
Security,20,1,1,6.37,0.311,14,8771,11618,30,0.25,-1.76,3,152,0,0.7548842413288579,417.6666666666667,1.5925,0.933,2.472,0.4176666666666667
Music,23,1,1,4.87,0.488,55,14082,23014,38,0.339,-0.62,3,132,0,0.6118618292417988,586.75,1.6509300000000002,1.464,3.5644000000000005,0.58675
Transportation,9,1,1,3.64,0.379,61,27040,40889,42,0.237,0.8,4,111,0,0.661286378087552,2704.0,0.86268,1.516,4.5360000000000005,2.704
Publishing,110,3,2,8.42,0.022,95,79793,16178,75,0.742,11.64,3,70,1,4.931887014030534,718.8558558558559,6.24764,0.066,16.23,2.1565675675675675
Hospitality,85,3,2,7.03,0.021,75,107756,21183,81,0.907,21.42,3,91,1,5.08666918429003,1252.9767441860465,6.37621,0.063,25.4502,3.7589302325581393
Energy,80,1,1,7.76,0.024,68,92370,37436,96,0.971,35.86,2,83,1,2.4673451398349227,1140.3703703703704,7.53496,0.048,44.0256,1.1403703703703705
Education,19,0,2,5.23,0.284,15,27286,26484,38,0.221,-7.76,4,150,0,1.030243534075892,1364.3,1.1558300000000001,1.136,0.8512000000000001,0.0
Transportation,8,0,1,4.78,0.399,63,13920,22395,47,0.369,-14.03,4,172,0,0.6215395606358278,1546.6666666666667,1.7638200000000002,1.596,-1.8940999999999997,0.0
Pharmaceuticals,27,2,3,6.96,0.144,55,38142,15559,60,0.474,7.41,3,69,1,2.4512853470437017,1362.2142857142858,3.2990399999999998,0.43199999999999994,10.446,2.7244285714285716
Media,67,4,3,7.66,0.03,72,40911,23565,82,0.877,24.37,1,65,1,1.7360179920224053,601.6323529411765,6.717820000000001,0.03,28.183400000000002,2.406529411764706
Energy,97,2,2,8.99,0.017,78,93170,26170,80,0.867,13.04,1,68,1,3.560047380688548,950.7142857142857,7.79433,0.017,18.432,1.9014285714285712
Gaming,54,3,1,6.94,0.036,92,98299,19130,78,0.761,15.12,1,44,1,5.138205007579321,1787.2545454545455,5.28134,0.036,19.5936,5.361763636363636
Food & Beverages,13,1,1,5.12,0.269,17,11268,16113,43,0.304,-6.97,5,107,0,0.6992677175127219,804.8571428571429,1.55648,1.3450000000000002,1.3029000000000002,0.8048571428571429
Human Resources,32,1,2,7.58,0.03,73,76204,21100,87,0.873,19.25,1,67,1,3.611392824984598,2309.212121212121,6.61734,0.03,25.4475,2.309212121212121
Pharmaceuticals,12,0,2,4.56,0.287,52,15660,20153,38,0.267,2.72,3,215,0,0.777016969336112,1204.6153846153845,1.21752,0.861,4.833600000000001,0.0
Media,53,1,3,8.48,0.029,64,115346,24292,87,0.901,9.89,3,89,1,4.748116741448154,2136.037037037037,7.64048,0.08700000000000001,17.3043,2.136037037037037
Retail,9,1,1,5.1,0.323,31,16389,24230,52,0.109,-3.42,3,153,0,0.6763649870001238,1638.9,0.5559,0.9690000000000001,3.4216,1.6389
Manufacturing,73,3,2,9.83,0.024,65,112860,52429,75,0.917,26.23,2,74,1,2.1525843982452795,1525.1351351351352,9.01411,0.048,27.172500000000003,4.575405405405406
Security,5,0,2,4.86,0.233,29,6954,10359,39,0.379,5.58,5,186,0,0.6712355212355212,1159.0,1.8419400000000001,1.165,6.0762,0.0
Software Development,9,0,2,4.84,0.183,42,20201,24919,9,0.222,2.06,5,105,0,0.8106340288924558,2020.1,1.0744799999999999,0.915,1.0854000000000001,0.0
Music,108,3,3,9.97,0.01,66,62233,22868,77,0.91,24.29,2,106,1,2.7212820849184487,570.9449541284404,9.072700000000001,0.02,26.403299999999998,1.7128348623853211
Healthcare,123,2,2,7.56,0.038,92,72536,31290,79,0.941,38.98,1,80,1,2.3181106388418393,584.9677419354839,7.11396,0.038,38.694199999999995,1.169935483870968
Human Resources,93,4,1,10.01,0.054,87,95230,26289,84,0.842,15.2,3,99,1,3.6222898440471663,1013.0851063829788,8.42842,0.162,21.167999999999996,4.0523404255319155
Energy,76,2,1,7.97,0.023,93,163221,57005,84,0.894,19.55,1,43,1,2.863224923692243,2119.753246753247,7.12518,0.023,24.822000000000003,4.239506493506494
Pharmaceuticals,66,1,3,7.3,0.01,81,72860,32153,88,0.748,22.34,3,99,1,2.2659700192822045,1087.4626865671642,5.4604,0.03,28.4592,1.0874626865671642
Mobile,17,1,2,5.1,0.286,38,30427,45227,52,0.122,3.59,5,197,0,0.6727469709029804,1690.388888888889,0.6222,1.43,7.0668,1.690388888888889
Network Infrastructure,11,1,1,5.02,0.331,58,10037,9425,35,0.214,-14.98,5,211,0,1.0648207086781243,836.4166666666666,1.07428,1.655,-1.743,0.8364166666666666
Enterprise Software,84,4,3,7.36,0.024,76,78460,23428,87,0.837,13.31,1,85,1,3.3488411797345172,923.0588235294117,6.1603200000000005,0.024,20.279700000000002,3.692235294117647
Career Services,110,3,2,6.77,0.054,84,61034,19221,63,0.801,13.92,2,44,1,3.175215898449693,549.8558558558559,5.42277,0.108,15.069600000000001,1.6495675675675676
Finance,5,0,1,4.78,0.308,38,20503,18095,36,0.296,-20.77,4,168,0,1.1330128205128205,3417.1666666666665,1.41488,1.232,-3.8771999999999998,0.0
